Site,Grassland,Shrub/Scrub,Forest,HighlyDev,Urban,Suburban,Exurban,Altered,Distance,Latitude,Longitude,Age,Sex,Relatedness PCO1,Relatedness PCO2,Relatedness PCO3,Relatedness PCO4,Relatedness PCO5,Relatedness PCO6
X21,0.070010588,0.556908417,0.010719958,0,0,0.003573319,0.006220222,0.440974061,1.3215,33.804250,-117.749780,3,1,-0.1194031,-0.194733645,-0.191037869,0.111695163,0.064052204,-0.043225157
X22,0.067664195,0.767346398,0.030587924,0,0,0.132680085,0.030190678,0.182070975,0.4918,33.824880,-117.741370,0,1,-0.038938271,-0.052501229,-0.087398814,0.242150198,0.070598098,0.068266591
X23,0.184493042,0.523658052,0.008614977,0.002253148,0.001590457,0.01325381,0,0.113717694,3.2308,33.785560,-117.721370,3,1,-0.161811935,-0.32097094,0.054103973,0.097370282,0.035139754,-0.08048786
X24,0.098067761,0.785865537,0.000661726,0,0,0.001191106,0.019057702,0.119640021,5.6288,33.761720,-117.681140,2,1,-0.181072694,-0.082695996,-0.062668903,0.212860392,-0.000839561,0.224738723
X27,0.157764996,0.841618735,0.00061627,0,0,0,0,0,4.7391,33.793110,-117.686150,3,0,-0.156400766,0.099984305,-0.011120141,0.2259205,0.089395769,-0.055032132
X31,0.08730321,0.639133102,0.008791658,0,0,0.007360458,0.006747086,0.291351461,1.6999,33.802400,-117.744520,3,0,-0.086000513,0.119730482,-0.159549663,0.24965014,-0.191682274,-0.02091616
X34,0.068655497,0.661830813,0.004903964,0.02002452,0,0.01777687,0.001430323,0.287086228,2.2038,33.797050,-117.738410,2,0,-0.09633499,0.021331042,-0.129544352,0.336799296,-0.088005691,0.088235446
X35,0.014824619,0.906551952,0.02223693,0.025810721,0,0.00397088,0.017868961,0.04804765,1.4138,33.822290,-117.731960,3,1,-0.269930097,-0.055829779,-0.043212428,0.265497803,-0.241910412,0.185287943
X36,0.071986238,0.746063253,0.003969829,0,0,0,0.003705174,0.251290195,1.7389,33.808420,-117.746180,3,1,-0.139931262,-0.099139945,0.102556067,0.11175139,0.057405822,0.186487699
X37,0.06882859,0.865916612,0.012839179,0,0,0,0.009662475,0.187690272,1.2358,33.813640,-117.744860,3,1,-0.038962157,-0.171202607,0.163672968,0.298809967,0.065875012,0.049425819
X39,0.219809322,0.569518008,0.05746822,0.167372881,0,0.019200212,0.002383475,0.790651483,0.4199,33.620270,-117.788120,3,1,0.004879648,-0.098566073,0.099426405,-0.00294524,-0.088684381,0.007959716
X44,0.02801636,0.909406953,0.036400818,0,0,0,0,1,1.9998,33.573350,-117.794100,2,0,0.146569364,0.105384098,-0.010293363,0.217904279,0.049475354,-0.15768198
X46,0.070426264,0.743711941,0.051893037,0.06036537,0,0,0,0.939634631,0.4278,33.605340,-117.778150,3,1,0.200253867,-0.080487702,0.088703555,-0.08487364,-0.147279869,0.069588323
X49,0.012842579,0.928637627,0.024361181,0.009135442,0,0,0,0.990467365,1.2728,33.570790,-117.782210,3,1,0.064360834,-0.086962488,-0.209469474,0.103565334,0.08568987,-0.111545918
X55,0.196929592,0.175489677,0.003970355,0.414769719,0.015616728,0.103890948,0.02977766,0.388433033,0.0777,33.666750,-117.694860,3,1,-0.121889072,0.034400447,-0.065268297,-0.098479296,-0.115948913,-0.070207914
X75,0.036243386,0.908862434,0.026984127,0,0,0,0,1,1.9998,33.573350,-117.794100,3,1,0.31234037,0.166761837,0.142445602,0.018593912,-0.114267734,0.079241809
X76,0.215922639,0.545105312,0.023446814,0.442707643,0.000397404,0.058285866,0.002384422,0.477546696,0.8696,33.627940,-117.782620,3,1,0.236500496,0.04108802,0.084752276,-0.01264206,-0.091254251,0.020680455
X78,0.036243386,0.908862434,0.026984127,0,0,0,0,1,1.9998,33.573351,-117.794100,3,1,0.332274596,0.151592282,0.036962907,0.081001881,-0.094003282,-0.00571468
X240,0.151462995,0.059976168,0.001323977,0.255660003,0.048192771,0.347279227,0.005560704,0.337614192,0,33.658330,-117.807440,3,1,0.228156719,0.226076549,0.040984886,0.063819486,-0.092488013,-0.071745066
,,,,,,,,,,,,,,,,,,,
